FBgn0004862	FBgn0265943	2L	no_CRM
FBgn0004862	FBgn0082989	3R	no_CRM
FBgn0004862	FBgn0261854	2R	betaTub56D_AS1:N
FBgn0004862	FBgn0034322	2R	no_CRM
FBgn0004862	FBgn0010039	3R	no_CRM
FBgn0004862	FBgn0025549	X	no_CRM
FBgn0004862	FBgn0053508	2L	no_CRM
FBgn0004862	FBgn0010452	3L	no_CRM
FBgn0004862	FBgn0053532	2L	no_CRM
FBgn0004862	FBgn0263653	3R	CecA1_prom:N
FBgn0004862	FBgn0028841	2L	no_CRM
FBgn0004862	FBgn0002609	3R	no_CRM
FBgn0004862	FBgn0035145	3L	no_CRM
FBgn0004862	FBgn0053207	3R	no_CRM
FBgn0004862	FBgn0264508	2R	no_CRM
FBgn0004862	FBgn0262097	2L	no_CRM
FBgn0004862	FBgn0267694	3R	no_CRM
FBgn0004862	FBgn0265099	2R	no_CRM
FBgn0004862	FBgn0004644	3R	no_CRM
FBgn0004862	FBgn0001170	2L	no_CRM
FBgn0004862	FBgn0035192	3L	no_CRM
FBgn0004862	FBgn0038203	3R	repo_-1.1:Y,repo_-1.9:Y
FBgn0004862	FBgn0261648	2L	salm_peak_-31.9:N,salm_wingpouch_Guss:N,salm_salm_TSE:N,salm_sal272P/P:N,salm_salE/Pv:N,salm_sal242S/P:N,salm_blastoderm_early_enhancer:N
FBgn0004862	FBgn0263380	3L	ind_1.4:N,ind_moduleA:N,ind_moduleBC:N,ind_moduleC+:N,ind_moduleAB:N
FBgn0004862	FBgn0267077	X	no_CRM
FBgn0004862	FBgn0000575	3L	no_CRM
FBgn0004862	FBgn0034948	2R	no_CRM
FBgn0004862	FBgn0266250	3R	no_CRM
FBgn0004862	FBgn0040505	2R	no_CRM
FBgn0004862	FBgn0011850	2R	no_CRM
FBgn0004862	FBgn0022724	X	no_CRM
FBgn0004862	FBgn0015805	3L	no_CRM
FBgn0004862	FBgn0050452	2R	no_CRM
FBgn0004862	FBgn0037963	3R	no_CRM
FBgn0004862	FBgn0267566	3R	no_CRM
FBgn0004862	FBgn0086901	3R	no_CRM
FBgn0004862	FBgn0003079	X	gt_-6_construct:N,gt_-3_construct:N,gt_CE8001:N,gt_gt1:N,gt_-1_construct:N
FBgn0004862	FBgn0010389	3R	no_CRM
FBgn0004862	FBgn0031763	2L	no_CRM
FBgn0004862	FBgn0264865	2L	no_CRM
FBgn0004862	FBgn0026059	3R	no_CRM
FBgn0004862	FBgn0035181	3L	no_CRM
FBgn0004862	FBgn0266899	2L	miR-1_miR-1_enhancer:N
FBgn0004862	FBgn0024232	2R	no_CRM
FBgn0004862	FBgn0086040	2L	no_CRM
FBgn0004862	FBgn0035267	3L	no_CRM
FBgn0004862	FBgn0261811	X	no_CRM
FBgn0004862	FBgn0039106	3R	no_CRM
FBgn0004862	FBgn0039178	3R	no_CRM
FBgn0004862	FBgn0283559	X	no_CRM
FBgn0004862	FBgn0065076	2R	no_CRM
FBgn0004862	FBgn0283551	2L	no_CRM
FBgn0004862	FBgn0032297	2L	no_CRM
FBgn0004862	FBgn0031011	X	no_CRM
FBgn0004862	FBgn0032867	2L	no_CRM
FBgn0004862	FBgn0034476	2R	betaTub60D_beta3-13:N,betaTub60D_b3-lac449:N,betaTub60D_beta3-17:N,betaTub60D_beta3-14/vm1:N,betaTub60D_b3-lac333:N
FBgn0004862	FBgn0037347	3R	no_CRM
