FBgn0086361	alph,alphabet,CG1906,pp2c99B,alphabet,PP2Cb,CG1906,SK3-1,pp2c99B,
FBgn0034573	CG3295,
FBgn0038558	CG12347,
FBgn0261787	brun,brunelleschi,,38D.28,CG2478,bru,
FBgn0030204	Or9a,Odorant receptor 9a,,DOR95,OR9a,9E.1,CG15302,9a,or9a,DmOr9a,
FBgn0264006	dysc,dyschronic,CG32131,CG8760,CG17368,CG34400,CG43749,CG32131,CG8760,anon-AE003536.1,CG32132,Dm_3L:69335,CG17368,
FBgn0030631	CG6227,,,cg6227,DmRH29,Prp5,
FBgn0038529	CG14323,
FBgn0033609	Fbl6,F-box and leucine-rich repeat protein 6,CG13213,CG13213,Fbl6,FBXL6,fbl6,
FBgn0261789	SmD2,Small ribonucleoprotein particle protein SmD2,Small ribonucleoprotein particle protein D2,snRNP2,CG1249,dD2,SMD2_DROME,snRNP D2,snRNP2,CG1249,BcDNA:LD03002,D2-Sm,
FBgn0000216	Brd,Bearded,bearded,brd,DmelCG3096,CG3096,Brd-C,
FBgn0020278	loco,locomotion defects,Locomotion defect,Locomotion defects,CG5248,Loco,dLoco,CG17229,LOCO,
FBgn0034931	CG2812,
FBgn0263526	mir-4971,mir-4971 stem loop,,dme-mir-4971,CR43511,
FBgn0004509	Fur1,Furin 1,Furin-like protease,Dfurin1,furin1,Furin1,dKLIP-1,furin,Furl,Dfurin1,CG10772,Dfur1,dFur1,Klip1,Furin,fur1,l(3)rL205,dFurin 1,fur-1,fur[1],
FBgn0038387	blp,black pearl,Black pearl,black-pearl,BcDNA:RE11908,l(3)01618,CG5268,Blp,
FBgn0035953	CG5087,,,NM_140022.1,
FBgn0031765	CG9109,,,dC1GalT9,
FBgn0026058	OdsH,Ods-site homeobox,,OdsH[mel],odsH,odsh,Odsh,CG6352,
FBgn0029709	CHOp24,CHOp24,,emp24,p24,p24/p24beta1,CG3564,Emp24,
FBgn0085396	CG34367,,CG13141,CG5369,CG13141,CG5369,
FBgn0038769	CG10889,
FBgn0041184	Socs36E,Suppressor of cytokine signaling at 36E,suppressor of cytokine signaling 36E,Suppressor of cytokine signaling 36E,Suppressor of Cytokine Signaling 36E,CG15154,Suppressor of cytokine signaling,suppressor of cytokine signaling,anon-EST:Liang-2.2,SocS36E,clone 2.2,socs36E,dmSocs36E,SOCS,Socs,dSOCS,socs36e,CG15154,socs60E1,SOCS36E,
FBgn0261635	CG42718,
FBgn0002522	lab,labial,Labial,F90,Dm lab,l(3)01241,l(3)84Ac,F90-2,BG:DS00004.9,lb,F24,CG1264,LAB,DmLab,EfR9,Dmlab,Lab,F121,
FBgn0260632	dl,dorsal,Dorsal,NFkappabeta,.,Embryonic polarity protein dorsal,Dorsal,dL,Dl,Dor,DL,dorsal,NFkappaB,d;,fs(2)k10816,CG6667,anon-EST:GressD7,GSd447,mat(2)dorsal,
FBgn0261953	TfAP-2,Transcription factor AP-2,lethal (3) 1215,stummelbein,AP-2,AP-2alpha,CG7807,dAP-2,dAP-2alpha,DAP-2,AP-2,l(3)1215,dTfap2,
FBgn0035517	CG1265,,,BcDNA:RE09466,
FBgn0025739	pon,partner of numb,Partner Of Numb,Partner of numb,Partner of Numb,CG3346,Pon,PON,
FBgn0032585	CG4580,
FBgn0032002	CG8353,
FBgn0039201	CG13617,,Iguana,Dzip1,
FBgn0030583	CG14410,
FBgn0046253	CG3502,,,BEST:LD34564,
FBgn0031399	mio,missing oocyte,,CG7074,CG15384,Mio,FBtr0077835,SEA4,
FBgn0050096	CG30096,
FBgn0039904	Hcf,Host cell factor,Heat cell factor,host cell factor,Host cell factor 1,FBgn0039904,HCF_DROME,HCF1,anon-WO0172774.48,dHcf1,HCF,Hcf1,dHCF,CG1710,dHcf,
FBgn0264844	CR44052,
FBgn0262971	CR43282,,,hpRNA1,
FBgn0034820	CG13538,
FBgn0266901	CR45361,,,pri-mir-1,
FBgn0262867	Ptr,Patched-related,Ptc-related Disp-like,ptc-related gene,Ptc related,patched-related,Ptc-related,Dmptr,Ptr_Dm,ptc-related-gene,CG11212,ptr,
FBgn0038114	CG11670,,,SP27,
FBgn0264698	CR43967,
FBgn0052791	DIP-alpha,Dpr-interacting protein alpha,,CG13020,DIP-alpha,CG13019,CG32791,32791,
FBgn0082974	snoRNA:Psi28S-3305c,snoRNA:Psi28S-3305c,,snoRNA:Psi28S-3305c,psi28s-3305c,CR34624,
FBgn0030744	CG9992,
FBgn0003965	v,vermilion,Tryptophan 2,3-dioxygenase,vermillion,Vermilion,Vermillion,ver,vm,NP_511113,Ver,152559_at,DmTDO,CG2155,TDO,
FBgn0032083	CG9541,
FBgn0004387	Klp98A,Kinesin-like protein at 98A,Kinesin7B,DmSNX23,KIF16A/B,DmKlp98A,CG5658,KIF 16A,Klp98a,KLP98A,Klp6,KLP6,
FBgn0050379	CG30379,
FBgn0030494	Cpr12A,Cuticular protein 12A,CG15757,CG15757,BcDNA:LP12385,
FBgn0010602	lwr,lesswright,hunchback-like,ubiquitin-conjugating enzyme 9,Lesswright,semushi,Ubiquitin conjugating enzyme 9,Ubc9,dUbc9,DUbc9,UBC9,ubc9,i56,Iwr,Dmubc9,Ubc-9,Ubc 9,l(2)05487,l(2)02858,semi,l(2)01519,hbl,l(2)05486,DmUbc9,dip4,i105,CG3018,FBgn0010602,UbcD9,dUBC9,Lwr,
FBgn0035158	CG13895,
FBgn0265060	CR44171,,,CG44171,
FBgn0261548	CG42666,,,CG17968,EG:131F2.2,CG14801,CG14799,CG14800,EG:137E7.1,
FBgn0030817	CG4991,,,CT15971,
FBgn0025455	CycT,Cyclin T,cyclin T2,cyclin T1,dCyclin T,Dmcyclin T,cyclin T,CyclinT,Dmcyclin T,P-TEFb,p124,CG6292,dT,anon-74EFc,ORE-14,
FBgn0086901	cv-c,crossveinless c,CG14846,lethal (3) 06951,crossveinless-c,CG31330,Crossveinless-c,CG14847,RhoGAP88C,CG14848,CG14845,CG8480,CG14846,rhoGAP88C,Cv-c,l(3)06951,CG34389,CG31319,CG31330,CG14849,CG14847,
FBgn0261996	CG42814,,,CG31063,CG6001,
FBgn0014877	Roe1,Roe1,,DROE1,Droe1,droe1,cg6155,BcDNA:GM03203,CG6155,
FBgn0036221	CG11588,
FBgn0050049	CG30049,,,CG30049-PA,
FBgn0030679	CG8206,
FBgn0033206	DCTN4-p62,Dynactin 4, p62 subunit,P62 DYNACTIN,Dynactin4 p62,p62 subunit of dynactin,p62,P62,CG12042,DCTN4,
FBgn0063386	snoRNA:Me18S-A28a,,snoRNA:U27:54Ec,snoRNA:U27:54Ec,CR32902,Me18S-A28a(U27),U27snoRNA,
FBgn0030704	CG15916,,,BcDNA:RH08992,
FBgn0015321	Ubc4,Ubiquitin conjugating enzyme 4,,UbcD4 E2,CG8284,E2,UbcD4,
FBgn0028402	Sin,Sex-lethal interactor,,CG10582,sin,
FBgn0051145	CG31145,,,CG10187,CG13820,CG13821,
FBgn0028841	jhamt,juvenile hormone acid methyltransferase,Juvenile hormone acid methyl transferase,Juvenile Hormone Acid O-Methyl Transferase,Juvenile hormone acid O-methyltransferase,CG17330,BG:DS09218.5,JHamt,DmJHAMT,JAHMT,JHAMT,Jhamt,
FBgn0052551	CG32551,
FBgn0037551	Gie,GTPase indispensable for equal segregation of chromosomes,novel GTPase indispensable for equal segregation of chromosomes,CG7891,BcDNA:LD29185,Arl8,Q9VHV5,CG7891,
FBgn0014411	Vps26,Vacuolar protein sorting 26,CG14804,CG14804,anon-sts13,131F2S,Dvps26,ESTS:131F2S,DmVps26,dVps26,dvps26,vps26,EG:63B12.8,
FBgn0026263	bip1,bip1,Bab Interating Protein 1,anon-WO0118547.246,bip-I,Bip1,CG7574,
FBgn0032400	CG6770,,,p8,anon-WO02059370.25,CT21019,
